gene_id	score
CALCOCO1	-1.35915379416755000e-03
UBR7	4.874038053506320000e-04
MAP4K5	-3.018329345967690000e-04
EHD3	-3.730044983745110000e-04
PSMC4	3.874977427877020000e-04
MAN2B2	-9.453483498806770000e-04
CLDN11	-1.37870185816901000e-03
SLC25A39	5.729573017507080000e-04
MVP	-1.21837843040935000e-03
NUB1	-1.378545041680450000e-04
PGM3	-8.492216685166310000e-04
RWDD2A	-6.00851788893580000e-04
CLK1	-9.042189074503270000e-04
POLR3B	5.651557218469940000e-04
ANGEL1	2.63416098366210000e-04
RNF14	-9.415402625167770000e-04
DNASE1L1	-5.805538629289960000e-04
DDX11	1.06576874564795000e-03
HEBP1	7.385887171369440000e-04
GPRC5A	-2.69199819618903000e-03
TACC3	7.903002863570480000e-04
UFL1	-5.368521098196720000e-04
POLA2	4.502972048253510000e-04
ZC3H3	2.027278078866950000e-04
CAPN1	7.46848375305232e-05
ACPP	-7.820593611160330000e-04
MDH1	7.779441182704510000e-04
SLC30A9	2.89204710834370000e-04
MTMR11	-2.777714620886710000e-04
COX15	3.89768837541466e-05
CCDC88C	6.322251630406850000e-04
YAF2	-2.62936429740368000e-03
ZMYND11	-6.298591101647780000e-04
DPEP1	2.811173284091870000e-04
BID	7.221889347843610000e-04
MATR3	4.369977209363550000e-04
XYLT2	1.85741127709917e-05
STMN4	-2.83239246040879000e-03
NUDCD3	-2.180711562860570000e-04
ISL1	-4.67299700476909000e-03
CHDH	1.11524105427374000e-03
GLT8D1	-6.037164153268380000e-04
ATP2C1	-2.88662313858580000e-04
IGF1	-1.9544391844183000e-03
SLC38A5	1.61181812443823000e-03
RALBP1	2.152158286930260000e-04
RUFY3	-6.16814148859020000e-04
CNTN1	2.00071446271891000e-03
WWTR1	-8.3235917898290000e-04
AGPS	4.292917921813660000e-04
CXorf56	5.892304077413240000e-04
ATP1A2	2.02116041243699000e-03
TTC27	1.14871979998176000e-03
ZNF582	-2.77922624752763e-05
PHLDB1	3.217362348337940000e-04
CYP24A1	-2.83239749072894000e-03
